ticker,date,title,url,sentiment
MMM,2006-03-20T08:00:00+00:00,"Cumbria - Entertainment - Tom Hingley ""Un-guarded"" - BBC",https://news.google.com/rss/articles/CBMilwFBVV95cUxNaDJOYjhFRFJFdlZKaFZZSE5PbHBDOHlRc2NRQkxJaGRTZFN4bHN3OU92dFptZnhuNnZvdGhlMUpvLTAwNU12NWlBMU1Uay10LWFUNy1UX2VqeXN6dXhfbzlZZGtDTUxpRTJEQV9uMTg1VGNJTGdpVnBjaS1VYUFBTEhmMHJmRjhEMzNhcnJtdF8wcW5kLU9n?oc=5,negative
MMM,2006-03-17T08:00:00+00:00,"Interview: Margaret Morrison, Founder And Director of Cybercandy - Londonist",https://news.google.com/rss/articles/CBMiWEFVX3lxTE9HWnpKRFVaWXBDSGNIOWdNcnlmbXhjcnptUTc0WVgtd3pmX01rZ2NUMTB5Rk9QbHhBS2oyQ200aUU2YnBxVUliTU9WQmRITVpLd0ZUbEJETnY?oc=5,positive
MMM,2006-03-03T08:00:00+00:00,Leicester - Features - Return of the Blaby Tomatoes - BBC,https://news.google.com/rss/articles/CBMijwFBVV95cUxNM0wyOFZtTVozQUV3X0toZ2VfSUpqYmRGN1lJUEpZZF96OXB0dUJuOGgyZm44Yjc5LXZQSUIxRTA3SHd5SXFKaVZKZzJ0b3dTenRjR0kzSk5CTUFqUkxNSGtKZm9ZS19mbEhYVkNYcnZQZjlPNmdfUU9wRjA5TUUtNmc4UERPZENNdktQTmNmbw?oc=5,negative
MMM,2006-02-08T08:00:00+00:00,Paul Smith At Borough Market - Londonist,https://news.google.com/rss/articles/CBMiWEFVX3lxTE5CTGJQbVo1ekx1Z0ZyLXd2N015RzF4XzFFM0k1dE9QQ01jRjE4Y3hNellOUlBta3V0V0lxRXNOTFFYd09MNzRDeXp1Sk5fbU1OV3pCeGtrZEI?oc=5,positive
MMM,2006-02-07T08:00:00+00:00,Computer feels your rage - Australian Broadcasting Corporation,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5Id3QyaDZxcXJYNkVUX0JsMDRnTXFBbXM3enY5R1E5X1dxQTJVek5CcU9YU3hiLUEwNlEyWk04WmFmVE8wVW9PZlZ6WjlMRG1laklnNnNxMWJCQ19rLUpmNmhjT2Jidw?oc=5,negative
MMM,2006-06-26T07:00:00+00:00,Marcie Shatula Interview- Mmm Blueberries - Pinkbike,https://news.google.com/rss/articles/CBMia0FVX3lxTE81WGoxVWJhZ1hERHAzTXpjWDlDYUUzRFhwd0pXLUNLai1BSWVKWURCSzVSOTk0eEVMRzkxV0lRWU9zbDc3RmU2blRudmFPLVIzRk1SYkM1N3N6a0dLNnVaUzY2bXJOQl9ZR0Fr?oc=5,negative
MMM,2006-06-20T07:00:00+00:00,"Gift idea : pre-packaged, bioengineered pets - Core77",https://news.google.com/rss/articles/CBMigAFBVV95cUxQRUNsNlpnLThhMmNvNVI3eEdNZndpQ192dGQyQ3NRVnFHdEZRVFNyTktyMzFpeEZVWmRiTnVMZFJxNXVHNHk2U1pHVjVjcUhXNk5uS0JGcEZMNl9lbUZFQjZfUnllcTd1c3BxZnI4UDNOVjJOei1VX0FldlB3RXRLZQ?oc=5,negative
MMM,2006-04-03T07:00:00+00:00,Mmm…. Teaser - empireonline.com,https://news.google.com/rss/articles/CBMiYkFVX3lxTFBSU19fTVhPQmhkREdlVHNfaDNPZkF5eTZJX002aWVwWHM5b0pWbk5vMTdRR0NMX0lQMm1FUlFZdlg0cnZTWU5MR0dWeGdJeXVaYTlnNUVYN2ZwYVBFZW1SazlB?oc=5,positive
MMM,2006-08-30T07:00:00+00:00,"Another day, another exotic supercar: the Edran Enigma - Motor Authority",https://news.google.com/rss/articles/CBMinAFBVV95cUxNalFyVmZCVFJ6VTNvOEZ2dm56RlFVUTVteVQ2cWs4a2xpY05MVVMtQl9iYlBfVWlhdzJlNWhaT3FoSl82cF9Vb3hPVVplX1laVGtEcmQ3WmJGR1Nua2NQeFJfdGVDVmstR0wxMWRSTTViY2lkcEt6VGRma2otZzVSbE52a25iWF9XY3JKa1l2ZDZPNHFYUFhmRlpvb24?oc=5,positive
MMM,2006-07-04T07:00:00+00:00,Interstate '82 - Eurogamer,https://news.google.com/rss/articles/CBMiQ0FVX3lxTE9aRnBzQjRYZDNXUjlid1pFSE5oMWthZjlRVURiRDhaU0FCamdvY0RpUlV1UngyZXdVSVM1LWNyYVREQXc?oc=5,positive
MMM,2006-12-13T08:00:00+00:00,Mmm... Jelly Beans - WIRED,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1qY2E2WTBMU3p0LXM0ckZqTDU2dVV0N3l5WnRqMXFwajJpeDl3eWE4TnZOX3kta2dsTmxzQTVTbTVyN01IZk9fR182aVAzRFpUQmEzYW5iT1FsQQ?oc=5,negative
